Chapter ID,Order No,Video Name,Video URL
38,1,"Introduction, Systems & State Functions",https://www.youtube.com/watch?v=ICPeEQ1LJkw&list=PLZ9LVTcy9PK02HizwQn_ArSPlKWsTalgz&index=8&pp=iAQB
38,2,"Work, Heat & Zeroth Law of Thermodynamics",https://www.youtube.com/watch?v=wQ5Q6ceFqIw&list=PLZ9LVTcy9PK02HizwQn_ArSPlKWsTalgz&index=7&pp=iAQB
38,3,First Law & Energy Changes in Processes,https://www.youtube.com/watch?v=pNeTZmCVpHo&list=PLZ9LVTcy9PK02HizwQn_ArSPlKWsTalgz&index=6&pp=iAQB
38,4,"Isothermal, Adiabatic & Other Processes",https://www.youtube.com/watch?v=jJF2uHhIjkQ&list=PLZ9LVTcy9PK02HizwQn_ArSPlKWsTalgz&index=5&pp=iAQB
38,5,Second Law Of Thermodynamics,https://www.youtube.com/watch?v=2N0n8xnVMCQ&list=PLZ9LVTcy9PK02HizwQn_ArSPlKWsTalgz&index=4&pp=iAQB
38,6,Gibbs Free Energy and Sponteinity,https://www.youtube.com/watch?v=Th8WO02kt1U&list=PLZ9LVTcy9PK02HizwQn_ArSPlKWsTalgz&index=3&pp=iAQB
38,7,Thermochemistry & Enthalpy Changes,https://www.youtube.com/watch?v=KOzr3b7Iwi0&list=PLZ9LVTcy9PK02HizwQn_ArSPlKWsTalgz&index=2&pp=iAQB
38,8,Thermochemistry Numerical Problems,https://www.youtube.com/watch?v=SPEH6Iw6jGg&list=PLZ9LVTcy9PK02HizwQn_ArSPlKWsTalgz&index=1&pp=iAQB
50,1,IUPAC Nomenclature,https://www.youtube.com/watch?v=FtLz2QkL44o&list=PLZ9LVTcy9PK1nkVzQaeNj_8iQ6NEitnDV&index=6&pp=iAQB0gcJCSkKAYcqIYzv
50,2,Preparation of Alcohols,https://www.youtube.com/watch?v=7Blw5B_7LmU&list=PLZ9LVTcy9PK1nkVzQaeNj_8iQ6NEitnDV&index=4&pp=iAQB
50,3,Preparation & Physical Properties of Phenols,https://www.youtube.com/watch?v=KtgSphHGoeU&list=PLZ9LVTcy9PK1nkVzQaeNj_8iQ6NEitnDV&index=5&pp=iAQB
50,4,Chemical Reactions of Phenols,https://www.youtube.com/watch?v=sp0FX-7xSgM&list=PLZ9LVTcy9PK1nkVzQaeNj_8iQ6NEitnDV&index=3&pp=iAQB
50,5,Nomenclature & Preparation of Ethers,https://www.youtube.com/watch?v=2DuMtftAixk&list=PLZ9LVTcy9PK1nkVzQaeNj_8iQ6NEitnDV&index=2&pp=iAQB
50,6,Reactions of Ethers,https://www.youtube.com/watch?v=V4Ut3A4bTmE&list=PLZ9LVTcy9PK1nkVzQaeNj_8iQ6NEitnDV&index=1&pp=iAQB
46,1,"Introduction, Rate of Reaction & Types",https://www.youtube.com/watch?v=VQt37T0emMQ&list=PLZ9LVTcy9PK3veaAp--k1Y4yGqQjaYZGz&index=7&pp=iAQB0gcJCSkKAYcqIYzv
46,2,"Law of Mass Action, Rate Law & Order of Reaction",https://www.youtube.com/watch?v=t1kXy6GYCuI&list=PLZ9LVTcy9PK3veaAp--k1Y4yGqQjaYZGz&index=6&pp=iAQB
